# Time Picea Larix Shrub Sphagnum_hum Sphagnum_hol water_table
9.620547945205270679e+00 -4.116321845744992936e-01 1.135758816786852199e+00 2.946672772349043234e-01 -2.884659805971738211e-01 4.248931180756895243e-01 -4.088131321319394829e-01
9.623287671232658269e+00 -4.117713197553642956e-01 1.136150083565922175e+00 2.929074390988097853e-01 -2.899946957985075069e-01 4.237791692249819331e-01 -4.079828450278992213e-01
9.626027397260047636e+00 -4.119095315305767446e-01 1.136721542065965318e+00 2.912500871707316419e-01 -2.915026220864768147e-01 4.226721035130550641e-01 -4.070839697731761242e-01
9.628767123287435226e+00 -4.120456657186511995e-01 1.137454153762814668e+00 2.896845708818760468e-01 -2.929633102609064399e-01 4.215584422179290414e-01 -4.059466425183599347e-01
9.631506849314842356e+00 -4.121801009401546145e-01 1.138330137117350205e+00 2.882008894594996762e-01 -2.943865776852255256e-01 4.204443133388053866e-01 -4.049002911766542145e-01
9.634246575342249486e+00 -4.123138359463868752e-01 1.139332787592510110e+00 2.867896038306765871e-01 -2.957947187875548667e-01 4.193343934531880146e-01 -4.037250075700190566e-01
9.636986301369658392e+00 -4.124471784926659890e-01 1.140446325910006165e+00 2.854417585553328807e-01 -2.971828684334525406e-01 4.182242537845834440e-01 -4.025675732356319148e-01
9.639726027397065522e+00 -4.125801772354476538e-01 1.141655782093016658e+00 2.841488249577581726e-01 -2.985423037006739722e-01 4.171087923965002275e-01 -4.013672869436258339e-01
9.642465753424474428e+00 -4.127126294230846759e-01 1.142947999951424043e+00 2.829033028902712132e-01 -2.998780580221275804e-01 4.159888495544742382e-01 -4.002103698726166003e-01
9.645205479451881558e+00 -4.128435876248456871e-01 1.144311910431355939e+00 2.816988930964245963e-01 -3.011865872528706745e-01 4.148701028886591646e-01 -3.989780543987662131e-01
9.647945205479290465e+00 -4.129727074586425073e-01 1.145736941793868313e+00 2.805295631742726337e-01 -3.024672804516367330e-01 4.137598447862166906e-01 -3.977171211996619604e-01
9.650684931506697595e+00 -4.130996740125214006e-01 1.147212827592493767e+00 2.793894450597014800e-01 -3.037135620025506189e-01 4.126630825293249316e-01 -3.964422542255482962e-01
9.653424657534106501e+00 -4.132250215522023651e-01 1.148729560785323400e+00 2.782728050022184596e-01 -3.049239378480662066e-01 4.115801944973592752e-01 -3.950708865337282383e-01
9.656164383561513631e+00 -4.133498242725819338e-01 1.150277342804833403e+00 2.771740180676810494e-01 -3.061097654716819494e-01 4.105047877724757877e-01 -3.937372376208164160e-01
9.658904109588920761e+00 -4.134740408303659853e-01 1.151846520256630146e+00 2.760875410563080057e-01 -3.072719066654883702e-01 4.094370288751362219e-01 -3.924317711441909218e-01
9.661643835616329667e+00 -4.135974631232367527e-01 1.153427552853051763e+00 2.750078844435083214e-01 -3.084174010931368115e-01 4.083778093487082095e-01 -3.909594924600898747e-01
9.664383561643736797e+00 -4.137195979782986033e-01 1.155011617136609825e+00 2.739299739589733385e-01 -3.095368318890046599e-01 4.073288429418362999e-01 -3.892981049803994065e-01
9.667123287671145704e+00 -4.138411171284998580e-01 1.156595704017470583e+00 2.728520764567987644e-01 -3.106198823930880204e-01 4.063110568342709339e-01 -3.883613395290303472e-01
9.669863013698552834e+00 -4.139615574810515120e-01 1.158179791449068352e+00 2.717741787321939495e-01 -3.116663999544149188e-01 4.053368409063567435e-01 -3.881927544577971623e-01
9.672602739725961740e+00 -4.140802987051965256e-01 1.159763877984306024e+00 2.706962809954492899e-01 -3.126848028478308450e-01 4.044006493048559192e-01 -3.883702298072491121e-01
9.675342465753368870e+00 -4.141967983518504148e-01 1.161347965006906513e+00 2.696183843226189203e-01 -3.136810117138850162e-01 4.034989057202109652e-01 -3.887675719224394921e-01
9.678082191780777777e+00 -4.143118307346185247e-01 1.162932052482728462e+00 2.685404865059448642e-01 -3.146578500318494287e-01 4.026376921574094658e-01 -3.893345009059588357e-01
9.680821917808184907e+00 -4.144256973946924827e-01 1.164516137974507926e+00 2.674625899084263625e-01 -3.156247998575919533e-01 4.018072892589973355e-01 -3.900289578617951447e-01
9.683561643835592037e+00 -4.145376790493527364e-01 1.166100223747568831e+00 2.663846925215554995e-01 -3.165900764262946643e-01 4.009982744401939803e-01 -3.908300366629621214e-01
9.686301369862990285e+00 -4.146474324355501340e-01 1.167684310906280221e+00 2.653067946115710285e-01 -3.175540401580393413e-01 4.002155085298208514e-01 -3.917833939456032422e-01
9.689041095890388533e+00 -4.147550251355924811e-01 1.169268398430972411e+00 2.642288972338671105e-01 -3.185138282960824352e-01 3.994590973002370982e-01 -3.928551476541871090e-01
9.691780821917786781e+00 -4.148605931487174270e-01 1.170852486379554858e+00 2.631509998845747988e-01 -3.194686373629186393e-01 3.987265657645991945e-01 -3.939614365287563147e-01
9.694520547945185029e+00 -4.149643117673450510e-01 1.172436573498266021e+00 2.620731027291854920e-01 -3.204149051553549232e-01 3.980155067245347289e-01 -3.950808541217983860e-01
